Code,Name,Close,MA25,MA75,Turnover,TurnoverMA25,TurnoverMA75,Category,DataDate
7911,ＴＯＰＰＡＮホールディングス,5297.0,4594.4,4752.5,119.6,80.7,78.5,1,2026/5/8
7912,大日本印刷,3161.0,2960.6,2956.2,62.4,44.1,42.9,1,2026/5/8
7914,共同印刷,1512.0,1569.1,1601.8,1.3,1.1,2.0,,
7915,ＮＩＳＳＨＡ,1311.0,1286.2,1291.8,2.1,2.4,2.9,,
7917,ＺＡＣＲＯＳ,1401.0,1383.6,1330.0,2.4,1.7,2.5,,
7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,3370.0,3646.4,3949.4,1.0,0.8,1.2,,
7925,前澤化成工業,1884.0,2098.5,2225.5,1.1,0.9,1.0,,
7931,未来工業,3060.0,3134.6,3217.7,1.0,1.6,1.2,,
7936,アシックス,4640.0,4466.0,4340.0,167.3,137.1,156.7,1,2026/5/8
7942,ＪＳＰ,2615.0,2395.0,2493.5,2.5,2.0,2.4,,
7943,ニチハ,3235.0,3273.8,3356.5,2.0,2.2,2.4,,
7944,ローランド,4135.0,4164.4,3990.3,2.0,3.9,3.6,,
7947,エフピコ,2357.0,2378.5,2509.6,4.1,7.1,7.0,,
7949,小松ウオール工業,2551.0,2576.0,2717.6,1.5,2.2,1.9,,
7951,ヤマハ,1116.5,1165.6,1148.1,39.6,23.7,24.9,1,2026/5/8
7952,河合楽器製作所,2771.0,2946.3,2810.7,0.6,0.6,0.8,,
7955,クリナップ,897.0,913.5,937.0,0.7,0.6,0.9,,
7956,ピジョン,1744.5,1685.3,1651.8,23.3,14.8,15.8,1,2026/5/8
7962,キングジム,796.0,814.2,814.9,0.1,0.5,0.4,,
7965,象印マホービン,1573.0,1667.9,1600.4,1.7,3.6,2.8,,
7966,リンテック,5210.0,4890.4,4860.8,56.2,12.9,11.0,1,2026/5/8
7970,信越ポリマー,2219.0,2102.9,2070.2,2.3,3.6,3.3,,
7972,イトーキ,2904.0,3291.0,3127.4,27.4,6.3,6.7,,
7974,任天堂,7667.0,8313.0,8906.1,1257.9,765.9,959.1,1,2026/5/8
7976,三菱鉛筆,2541.0,2447.4,2367.9,2.3,2.2,2.4,,
7979,松風,1639.0,1704.5,1752.7,1.2,1.9,2.4,,
7981,タカラスタンダード,3070.0,2818.6,2860.9,4.6,5.4,3.8,,
7984,コクヨ,808.6,867.3,881.1,7.6,8.1,7.9,,
7988,ニフコ,4613.0,4594.5,4782.9,15.0,13.0,13.4,1,2026/5/8
7989,立川ブラインド工業,2505.0,2574.6,2418.5,2.2,1.1,1.4,,
7990,グローブライド,2152.0,2117.4,2174.8,1.5,1.7,1.8,,
7994,オカムラ,2447.0,2539.4,2496.0,3.9,3.2,4.3,,
7995,バルカー,6080.0,5416.8,4895.3,4.9,4.0,3.5,,
